srv_diff_host_rate,num_outbound_cmds,dst_host_srv_rerror_rate,su_attempted,num_shells,flag,Label,dst_host_serror_rate,srv_count,num_file_creations,src_bytes,dst_host_srv_serror_rate,dst_host_srv_diff_host_rate,num_access_files,num_compromised,serror_rate,is_host_login,num_failed_logins,dst_host_srv_count,dst_host_same_srv_rate,service,dst_host_count,wrong_fragment,dst_host_same_src_port_rate,land,rerror_rate,num_root,dst_host_diff_srv_rate,root_shell,srv_rerror_rate,logged_in,hot,duration,urgent,dst_host_rerror_rate,diff_srv_rate,count,dst_bytes,is_guest_login,same_srv_rate,protocol_type,srv_serror_rate
0.75,0,0.0,0,0,SF,Benign,0.0,4,0,36,0.0,0.01,0,0,0.0,0,0,171,1.0,domain_u,67,0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,2,0,0,1.0,udp,0.0
0.0,0,0.0,0,0,S0,Malicious,1.0,11,0,0,1.0,0.0,0,0,1.0,0,0,44,0.17,http,255,0,0.01,0,0.0,0,0.05,0,0.0,0,0,0,0,0.0,0.1,42,0,0,0.26,tcp,1.0
0.0,0,0.0,0,0,S0,Malicious,1.0,20,0,0,1.0,0.0,0,0,1.0,0,0,20,0.08,pop_3,255,0,0.0,0,0.0,0,0.06,0,0.0,0,0,0,0,0.0,0.06,284,0,0,0.07,tcp,1.0
0.0,0,1.0,0,0,REJ,Malicious,0.0,8,0,0,0.0,0.0,0,0,0.0,0,0,27,0.11,private,255,0,0.0,0,1.0,0,0.07,0,1.0,0,0,0,0,1.0,0.06,110,0,0,0.07,tcp,0.0
0.0,0,1.0,0,0,RSTR,Malicious,0.04,1,0,0,0.0,0.0,0,0,0.0,0,0,1,0.01,private,134,0,0.64,0,1.0,0,0.64,0,1.0,0,0,0,0,0.63,0.0,1,0,0,1.0,tcp,0.0
0.0,0,0.0,0,0,SF,Benign,0.0,20,0,325,0.0,0.0,0,0,0.0,0,0,255,1.0,http,255,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0.0,0.0,20,4673,0,1.0,tcp,0.0
0.0,0,0.0,0,0,S0,Malicious,1.0,13,0,0,1.0,0.0,0,0,1.0,0,0,33,0.13,private,255,0,0.0,0,0.0,0,0.06,0,0.0,0,0,0,0,0.0,0.07,133,0,0,0.1,tcp,1.0
0.0,0,1.0,0,0,REJ,Malicious,0.0,17,0,0,0.0,0.0,0,0,0.0,0,0,17,0.07,private,255,0,0.0,0,1.0,0,0.07,0,1.0,0,0,0,0,1.0,0.08,101,0,0,0.17,tcp,0.0
0.0,0,1.0,0,0,REJ,Malicious,0.0,18,0,0,0.0,0.0,0,0,0.0,0,0,18,0.07,iso_tsap,255,0,0.0,0,1.0,0,0.08,0,1.0,0,0,0,0,1.0,0.06,285,0,0,0.06,tcp,0.0
1.0,0,0.0,0,0,SF,Benign,0.0,2,0,743,0.0,0.0,0,0,0.0,0,0,85,0.62,smtp,138,0,0.01,0,0.0,0,0.05,0,0.0,1,0,0,0,0.0,0.0,1,335,0,1.0,tcp,0.0
